"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","1997","1997","White","2106-3","Unknown","U","0-14 years","0-14",1,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","White","2106-3","Unknown","U","15-19 years","15-19",5,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","White","2106-3","Unknown","U","20-24 years","20-24",10,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","White","2106-3","Unknown","U","25-29 years","25-29",4,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","White","2106-3","Unknown","U","30-34 years","30-34",3,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","White","2106-3","Unknown","U","35-39 years","35-39",1,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","0-14 years","0-14",5442,4436737,122.66
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","15-19 years","15-19",74163,1420233,5221.89
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","20-24 years","20-24",53340,1268392,4205.32
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","25-29 years","25-29",17812,1329119,1340.14
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","30-34 years","30-34",6136,1383641,443.47
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","35-39 years","35-39",2807,1460820,192.15
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","40+ years","40+",1878,6216070,30.21
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Female","F","Unknown","99",900,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","0-14 years","0-14",474,4568987,10.37
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","15-19 years","15-19",12567,1448928,867.33
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","20-24 years","20-24",15061,1200652,1254.40
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","25-29 years","25-29",7298,1196157,610.12
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","30-34 years","30-34",3316,1229600,269.68
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","35-39 years","35-39",1876,1285242,145.97
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","40+ years","40+",1638,4853366,33.75
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Male","M","Unknown","99",236,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Unknown","U","15-19 years","15-19",6,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Unknown","U","20-24 years","20-24",3,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Unknown","U","25-29 years","25-29",1,Not Applicable,Not Applicable
